Entity,Code,Year,Fossil fuels (TWh)
Asia Pacific (EI),,1970,7725.842
Asia Pacific (EI),,1971,8453.111
Asia Pacific (EI),,1972,8971.127
Asia Pacific (EI),,1973,9762.947
Asia Pacific (EI),,1974,9890.27
Asia Pacific (EI),,1975,10225.832
Asia Pacific (EI),,1976,10730.922
Asia Pacific (EI),,1977,11425.644
Asia Pacific (EI),,1978,12136.809
Asia Pacific (EI),,1979,12632.012
Asia Pacific (EI),,1980,12614.435
Asia Pacific (EI),,1981,12641.21
Asia Pacific (EI),,1982,12720.981
Asia Pacific (EI),,1983,13206.847
Asia Pacific (EI),,1984,14149.856
Asia Pacific (EI),,1985,14743.253
Asia Pacific (EI),,1986,15345.198
Asia Pacific (EI),,1987,16191.299
Asia Pacific (EI),,1988,17438.588
Asia Pacific (EI),,1989,18361.424
Asia Pacific (EI),,1990,19098.611
Asia Pacific (EI),,1991,19978.342
Asia Pacific (EI),,1992,20989.75
Asia Pacific (EI),,1993,22011.508
Asia Pacific (EI),,1994,23242.64
Asia Pacific (EI),,1995,24341.225
Asia Pacific (EI),,1996,25586.416
Asia Pacific (EI),,1997,26361.39
Asia Pacific (EI),,1998,26152.512
Asia Pacific (EI),,1999,27213.346
Asia Pacific (EI),,2000,28260.03
Asia Pacific (EI),,2001,29142.172
Asia Pacific (EI),,2002,30654.473
Asia Pacific (EI),,2003,33590.32
Asia Pacific (EI),,2004,36712.633
Asia Pacific (EI),,2005,39693.625
Asia Pacific (EI),,2006,41972.434
Asia Pacific (EI),,2007,44729.57
Asia Pacific (EI),,2008,45721.176
Asia Pacific (EI),,2009,46778.562
Asia Pacific (EI),,2010,49529.953
Asia Pacific (EI),,2011,52404.902
Asia Pacific (EI),,2012,54135.52
Asia Pacific (EI),,2013,55276.273
Asia Pacific (EI),,2014,56160.207
Asia Pacific (EI),,2015,56843.04
Asia Pacific (EI),,2016,57194.67
Asia Pacific (EI),,2017,58824.695
Asia Pacific (EI),,2018,60808.64
Asia Pacific (EI),,2019,62243.71
Asia Pacific (EI),,2020,61263.453
Asia Pacific (EI),,2021,64047.324
Asia Pacific (EI),,2022,64657.88
Australia,AUS,1965,402.0766
Australia,AUS,1966,423.4757
Australia,AUS,1967,449.67706
Australia,AUS,1968,477.284
Australia,AUS,1969,495.8524
Australia,AUS,1970,539.1938
Australia,AUS,1971,563.9407
Australia,AUS,1972,591.03815
Australia,AUS,1973,631.9478
Australia,AUS,1974,669.50653
Australia,AUS,1975,678.3161
Australia,AUS,1976,705.69037
Australia,AUS,1977,744.5497
Australia,AUS,1978,766.5331
Australia,AUS,1979,797.8316
Australia,AUS,1980,803.1974
Australia,AUS,1981,815.5016
Australia,AUS,1982,810.5105
Australia,AUS,1983,783.71387
Australia,AUS,1984,812.199
Australia,AUS,1985,834.89233
Australia,AUS,1986,851.96246
Australia,AUS,1987,879.4256
Australia,AUS,1988,918.7304
Australia,AUS,1989,967.3501
Australia,AUS,1990,986.9913
Australia,AUS,1991,976.7057
Australia,AUS,1992,992.8748
Australia,AUS,1993,1013.4342
Australia,AUS,1994,1055.4196
Australia,AUS,1995,1105.3599
Australia,AUS,1996,1137.8003
Australia,AUS,1997,1166.8212
Australia,AUS,1998,1196.0067
Australia,AUS,1999,1245.3375
Australia,AUS,2000,1253.1943
Australia,AUS,2001,1264.4697
Australia,AUS,2002,1288.9951
Australia,AUS,2003,1306.2241
Australia,AUS,2004,1347.7528
Australia,AUS,2005,1349.514
Australia,AUS,2006,1408.5713
Australia,AUS,2007,1446.2709
Australia,AUS,2008,1475.3569
Australia,AUS,2009,1450.3665
Australia,AUS,2010,1443.7653
Australia,AUS,2011,1469.9421
Australia,AUS,2012,1448.736
Australia,AUS,2013,1454.2837
Australia,AUS,2014,1472.9941
Australia,AUS,2015,1500.9393
Australia,AUS,2016,1491.3119
Australia,AUS,2017,1493.9497
Australia,AUS,2018,1490.9012
Australia,AUS,2019,1531.1565
Australia,AUS,2020,1415.1289
Australia,AUS,2021,1387.2228
Australia,AUS,2022,1421.0679
Austria,AUT,1965,141.94102
Austria,AUT,1966,147.07748
Austria,AUT,1967,148.03069
Austria,AUT,1968,160.46872
Austria,AUT,1969,172.49155
Austria,AUT,1970,191.19582
Austria,AUT,1971,203.34729
Austria,AUT,1972,210.70651
Austria,AUT,1973,224.70874
Austria,AUT,1974,215.80243
Austria,AUT,1975,210.70143
Austria,AUT,1976,230.08144
Austria,AUT,1977,217.90715
Austria,AUT,1978,230.44014
Austria,AUT,1979,239.13522
Austria,AUT,1980,234.79614
Austria,AUT,1981,220.305
Austria,AUT,1982,209.96161
Austria,AUT,1983,209.99268
Austria,AUT,1984,218.07474
Austria,AUT,1985,221.79253
Austria,AUT,1986,220.94206
Austria,AUT,1987,226.48557
Austria,AUT,1988,221.39604
Austria,AUT,1989,223.70924
Austria,AUT,1990,238.27486
Austria,AUT,1991,254.54054
Austria,AUT,1992,238.59088
Austria,AUT,1993,239.1349
Austria,AUT,1994,240.44193
Austria,AUT,1995,251.3576
Austria,AUT,1996,261.10703
Austria,AUT,1997,262.8246
Austria,AUT,1998,265.21317
Austria,AUT,1999,264.26392
Austria,AUT,2000,262.42456
Austria,AUT,2001,280.44653
Austria,AUT,2002,282.88486
Austria,AUT,2003,307.11383
Austria,AUT,2004,302.39697
Austria,AUT,2005,306.63385
Austria,AUT,2006,300.71646
Austria,AUT,2007,284.4118
Austria,AUT,2008,288.42078
Austria,AUT,2009,267.22955
Austria,AUT,2010,287.3896
Austria,AUT,2011,275.2274
Austria,AUT,2012,265.73227
Austria,AUT,2013,266.15073
Austria,AUT,2014,250.13168
Austria,AUT,2015,256.6368
Austria,AUT,2016,262.3385
Austria,AUT,2017,273.11026
Austria,AUT,2018,267.3313
Austria,AUT,2019,276.53314
Austria,AUT,2020,247.93655
Austria,AUT,2021,257.99292
Austria,AUT,2022,241.89842
Azerbaijan,AZE,1985,231.06927
Azerbaijan,AZE,1986,250.45602
Azerbaijan,AZE,1987,242.64438
Azerbaijan,AZE,1988,243.13956
Azerbaijan,AZE,1989,247.98708
Azerbaijan,AZE,1990,255.64853
Azerbaijan,AZE,1991,245.14902
Azerbaijan,AZE,1992,209.22707
Azerbaijan,AZE,1993,178.80655
Azerbaijan,AZE,1994,165.4534
Azerbaijan,AZE,1995,156.04692
Azerbaijan,AZE,1996,127.195816
Azerbaijan,AZE,1997,121.09227
Azerbaijan,AZE,1998,120.87608
Azerbaijan,AZE,1999,121.90018
Azerbaijan,AZE,2000,127.51921
Azerbaijan,AZE,2001,123.4054
Azerbaijan,AZE,2002,119.712585
Azerbaijan,AZE,2003,128.87189
Azerbaijan,AZE,2004,145.95898
Azerbaijan,AZE,2005,158.22023
Azerbaijan,AZE,2006,156.92683
Azerbaijan,AZE,2007,144.38663
Azerbaijan,AZE,2008,146.12082
Azerbaijan,AZE,2009,124.4043
Azerbaijan,AZE,2010,119.37453
Azerbaijan,AZE,2011,139.21541
Azerbaijan,AZE,2012,146.17456
Azerbaijan,AZE,2013,150.3756
Azerbaijan,AZE,2014,153.4744
Azerbaijan,AZE,2015,167.27997
Azerbaijan,AZE,2016,164.8099
Azerbaijan,AZE,2017,162.238
Azerbaijan,AZE,2018,166.29042
Azerbaijan,AZE,2019,174.72023
Azerbaijan,AZE,2020,179.60464
Azerbaijan,AZE,2021,191.6479
Azerbaijan,AZE,2022,189.3309
Bangladesh,BGD,1971,12.889405
Bangladesh,BGD,1972,14.673129
Bangladesh,BGD,1973,18.50149
Bangladesh,BGD,1974,20.028002
Bangladesh,BGD,1975,20.041862
Bangladesh,BGD,1976,23.432259
Bangladesh,BGD,1977,24.146008
Bangladesh,BGD,1978,25.527687
Bangladesh,BGD,1979,28.059143
Bangladesh,BGD,1980,33.02646
Bangladesh,BGD,1981,34.991577
Bangladesh,BGD,1982,39.09484
Bangladesh,BGD,1983,38.232666
Bangladesh,BGD,1984,40.7901
Bangladesh,BGD,1985,46.088886
Bangladesh,BGD,1986,51.20593
Bangladesh,BGD,1987,56.455784
Bangladesh,BGD,1988,62.580406
Bangladesh,BGD,1989,66.893814
Bangladesh,BGD,1990,71.242424
Bangladesh,BGD,1991,68.77666
Bangladesh,BGD,1992,75.35679
Bangladesh,BGD,1993,83.6379
Bangladesh,BGD,1994,88.1855
Bangladesh,BGD,1995,106.00862
Bangladesh,BGD,1996,110.01724
Bangladesh,BGD,1997,115.764725
Bangladesh,BGD,1998,123.00139
Bangladesh,BGD,1999,124.522194
Bangladesh,BGD,2000,133.90604
Bangladesh,BGD,2001,152.66776
Bangladesh,BGD,2002,153.83672
Bangladesh,BGD,2003,162.74109
Bangladesh,BGD,2004,172.91483
Bangladesh,BGD,2005,187.49292
Bangladesh,BGD,2006,203.0581
Bangladesh,BGD,2007,208.01953
Bangladesh,BGD,2008,219.56903
Bangladesh,BGD,2009,242.42615
Bangladesh,BGD,2010,248.01476
Bangladesh,BGD,2011,268.7568
Bangladesh,BGD,2012,292.37677
Bangladesh,BGD,2013,304.34338
Bangladesh,BGD,2014,316.26376
Bangladesh,BGD,2015,382.2485
Bangladesh,BGD,2016,383.01346
Bangladesh,BGD,2017,400.0932
Bangladesh,BGD,2018,427.4506
Bangladesh,BGD,2019,479.6393
Bangladesh,BGD,2020,454.1844
Bangladesh,BGD,2021,476.12723
Bangladesh,BGD,2022,494.74222
Belarus,BLR,1985,407.98453
Belarus,BLR,1986,465.7792
Belarus,BLR,1987,472.56018
Belarus,BLR,1988,479.34583
Belarus,BLR,1989,463.6015
Belarus,BLR,1990,465.91333
Belarus,BLR,1991,464.85297
Belarus,BLR,1992,403.1054
Belarus,BLR,1993,337.056
Belarus,BLR,1994,281.75735
Belarus,BLR,1995,250.64694
Belarus,BLR,1996,257.09088
Belarus,BLR,1997,260.03897
Belarus,BLR,1998,254.26794
Belarus,BLR,1999,247.36047
Belarus,BLR,2000,254.98041
Belarus,BLR,2001,247.87195
Belarus,BLR,2002,256.4415
Belarus,BLR,2003,254.50519
Belarus,BLR,2004,284.98264
Belarus,BLR,2005,284.04437
Belarus,BLR,2006,302.03766
Belarus,BLR,2007,294.6274
Belarus,BLR,2008,298.36
Belarus,BLR,2009,282.00616
Belarus,BLR,2010,305.46198
Belarus,BLR,2011,299.9841
Belarus,BLR,2012,324.44122
Belarus,BLR,2013,293.89456
Belarus,BLR,2014,294.04642
Belarus,BLR,2015,266.07587
Belarus,BLR,2016,271.6911
Belarus,BLR,2017,275.74936
Belarus,BLR,2018,305.3295
Belarus,BLR,2019,306.4762
Belarus,BLR,2020,282.93427
Belarus,BLR,2021,288.3199
Belarus,BLR,2022,282.15985
Belgium,BEL,1965,412.1369
Belgium,BEL,1966,396.9578
Belgium,BEL,1967,416.6844
Belgium,BEL,1968,464.5224
Belgium,BEL,1969,510.0323
Belgium,BEL,1970,538.7019
Belgium,BEL,1971,528.9381
Belgium,BEL,1972,562.1694
Belgium,BEL,1973,569.2344
Belgium,BEL,1974,549.3082
Belgium,BEL,1975,497.96344
Belgium,BEL,1976,520.5978
Belgium,BEL,1977,515.2745
Belgium,BEL,1978,537.71906
Belgium,BEL,1979,557.2579
Belgium,BEL,1980,528.7186
Belgium,BEL,1981,499.75403
Belgium,BEL,1982,469.30164
Belgium,BEL,1983,429.50436
Belgium,BEL,1984,441.6411
Belgium,BEL,1985,445.16956
Belgium,BEL,1986,448.54868
Belgium,BEL,1987,457.85803
Belgium,BEL,1988,466.24158
Belgium,BEL,1989,476.0843
Belgium,BEL,1990,498.42084
Belgium,BEL,1991,519.6058
Belgium,BEL,1992,516.315
Belgium,BEL,1993,510.65756
Belgium,BEL,1994,546.805
Belgium,BEL,1995,552.72076
Belgium,BEL,1996,589.1822
Belgium,BEL,1997,584.93756
Belgium,BEL,1998,602.0638
Belgium,BEL,1999,588.42444
Belgium,BEL,2000,603.48157
Belgium,BEL,2001,602.8867
Belgium,BEL,2002,597.305
Belgium,BEL,2003,626.1305
Belgium,BEL,2004,629.1559
Belgium,BEL,2005,618.7869
Belgium,BEL,2006,621.7085
Belgium,BEL,2007,621.80615
Belgium,BEL,2008,639.172
Belgium,BEL,2009,571.00775
Belgium,BEL,2010,612.62366
Belgium,BEL,2011,556.8064
Belgium,BEL,2012,543.64355
Belgium,BEL,2013,552.079
Belgium,BEL,2014,523.214
Belgium,BEL,2015,545.295
Belgium,BEL,2016,551.6957
Belgium,BEL,2017,557.6527
Belgium,BEL,2018,587.7759
Belgium,BEL,2019,568.6818
Belgium,BEL,2020,505.11682
Belgium,BEL,2021,541.55786
Belgium,BEL,2022,498.51526
Brazil,BRA,1965,198.42204
Brazil,BRA,1966,216.26239
Brazil,BRA,1967,223.26753
Brazil,BRA,1968,263.15
Brazil,BRA,1969,289.1421
Brazil,BRA,1970,330.42477
Brazil,BRA,1971,371.97632
Brazil,BRA,1972,420.52798
Brazil,BRA,1973,502.46262
Brazil,BRA,1974,557.3285
Brazil,BRA,1975,579.58704
Brazil,BRA,1976,624.27704
Brazil,BRA,1977,646.9512
Brazil,BRA,1978,712.6395
Brazil,BRA,1979,760.16327
Brazil,BRA,1980,746.7213
Brazil,BRA,1981,719.56866
Brazil,BRA,1982,739.0767
Brazil,BRA,1983,708.71155
Brazil,BRA,1984,729.1792
Brazil,BRA,1985,770.7239
Brazil,BRA,1986,827.3732
Brazil,BRA,1987,853.6635
Brazil,BRA,1988,857.70416
Brazil,BRA,1989,874.8997
Brazil,BRA,1990,862.29016
Brazil,BRA,1991,880.6884
Brazil,BRA,1992,884.5553
Brazil,BRA,1993,925.20795
Brazil,BRA,1994,980.30176
Brazil,BRA,1995,1049.9899
Brazil,BRA,1996,1121.2314
Brazil,BRA,1997,1209.2932
Brazil,BRA,1998,1248.0927
Brazil,BRA,1999,1264.0149
Brazil,BRA,2000,1339.3213
Brazil,BRA,2001,1371.3234
Brazil,BRA,2002,1367.0769
Brazil,BRA,2003,1360.1128
Brazil,BRA,2004,1433.4462
Brazil,BRA,2005,1454.0321
Brazil,BRA,2006,1487.4023
Brazil,BRA,2007,1559.1802
Brazil,BRA,2008,1648.5132
Brazil,BRA,2009,1554.6952
Brazil,BRA,2010,1749.4469
Brazil,BRA,2011,1806.3438
Brazil,BRA,2012,1935.5161
Brazil,BRA,2013,2046.477
Brazil,BRA,2014,2139.9185
Brazil,BRA,2015,2070.9087
Brazil,BRA,2016,1916.3197
Brazil,BRA,2017,1945.8115
Brazil,BRA,2018,1857.1079
Brazil,BRA,2019,1838.4407
Brazil,BRA,2020,1706.1221
Brazil,BRA,2021,1930.0145
Brazil,BRA,2022,1873.1235
Bulgaria,BGR,1965,114.011665
Bulgaria,BGR,1966,122.62188
Bulgaria,BGR,1967,143.3616
Bulgaria,BGR,1968,163.07874
Bulgaria,BGR,1969,180.62979
Bulgaria,BGR,1970,202.99504
Bulgaria,BGR,1971,211.58032
Bulgaria,BGR,1972,218.12337
Bulgaria,BGR,1973,225.47414
Bulgaria,BGR,1974,231.24681
Bulgaria,BGR,1975,250.81227
Bulgaria,BGR,1976,258.11252
Bulgaria,BGR,1977,268.9954
Bulgaria,BGR,1978,281.25052
Bulgaria,BGR,1979,290.9273
Bulgaria,BGR,1980,307.51938
Bulgaria,BGR,1981,294.46066
Bulgaria,BGR,1982,299.615
Bulgaria,BGR,1983,296.56033
Bulgaria,BGR,1984,293.67322
Bulgaria,BGR,1985,293.00446
Bulgaria,BGR,1986,302.50763
Bulgaria,BGR,1987,303.50546
Bulgaria,BGR,1988,301.20682
Bulgaria,BGR,1989,301.9995
Bulgaria,BGR,1990,277.9761
Bulgaria,BGR,1991,218.48157
Bulgaria,BGR,1992,208.68484
Bulgaria,BGR,1993,218.66853
Bulgaria,BGR,1994,206.19438
Bulgaria,BGR,1995,217.25267
Bulgaria,BGR,1996,212.05858
Bulgaria,BGR,1997,198.69548
Bulgaria,BGR,1998,190.23712
Bulgaria,BGR,1999,164.30557
Bulgaria,BGR,2000,158.01701
Bulgaria,BGR,2001,164.59537
Bulgaria,BGR,2002,155.02228
Bulgaria,BGR,2003,168.57735
Bulgaria,BGR,2004,162.36998
Bulgaria,BGR,2005,172.51389
Bulgaria,BGR,2006,175.43185
Bulgaria,BGR,2007,184.7735
Bulgaria,BGR,2008,179.45262
Bulgaria,BGR,2009,150.88222
Bulgaria,BGR,2010,154.66158
Bulgaria,BGR,2011,170.47174
Bulgaria,BGR,2012,156.51334
Bulgaria,BGR,2013,140.88452
Bulgaria,BGR,2014,148.92491
Bulgaria,BGR,2015,159.54132
Bulgaria,BGR,2016,151.68547
Bulgaria,BGR,2017,160.05421
Bulgaria,BGR,2018,150.33192
Bulgaria,BGR,2019,146.88019
Bulgaria,BGR,2020,130.9326
Bulgaria,BGR,2021,150.00853
Bulgaria,BGR,2022,161.34145
CIS (EI),,1965,6670.796
CIS (EI),,1966,7078.841
CIS (EI),,1967,7462.6885
CIS (EI),,1968,7703.6904
CIS (EI),,1969,8023.5205
CIS (EI),,1970,8429.683
CIS (EI),,1971,8854.193
CIS (EI),,1972,9325.471
CIS (EI),,1973,9807.643
CIS (EI),,1974,10323.314
CIS (EI),,1975,10852.624
CIS (EI),,1976,11237.641
CIS (EI),,1977,11694.834
CIS (EI),,1978,12155.222
CIS (EI),,1979,12478.68
CIS (EI),,1980,12697.965
CIS (EI),,1981,12938.9375
CIS (EI),,1982,13279.264
CIS (EI),,1983,13527.699
CIS (EI),,1984,13912.219
CIS (EI),,1985,11113.453
CIS (EI),,1986,11372.044
CIS (EI),,1987,11674.885
CIS (EI),,1988,11882.69
CIS (EI),,1989,11922.714
CIS (EI),,1990,11786.83
CIS (EI),,1991,11560.322
CIS (EI),,1992,10981.137
CIS (EI),,1993,10073.508
CIS (EI),,1994,9151.474
CIS (EI),,1995,8564.614
CIS (EI),,1996,8284.941
CIS (EI),,1997,7771.944
CIS (EI),,1998,7767.2827
CIS (EI),,1999,7811.5415
CIS (EI),,2000,7858.911
CIS (EI),,2001,8000.568
CIS (EI),,2002,7998.542
CIS (EI),,2003,8190.604
CIS (EI),,2004,8306.3955
CIS (EI),,2005,8328.883
CIS (EI),,2006,8675.051
CIS (EI),,2007,8782.335
CIS (EI),,2008,8836.443
CIS (EI),,2009,8395.129
CIS (EI),,2010,8770.529
CIS (EI),,2011,9210.961
CIS (EI),,2012,9335.614
CIS (EI),,2013,9148.836
CIS (EI),,2014,9253.002
CIS (EI),,2015,8991.713
CIS (EI),,2016,9161.243
CIS (EI),,2017,9265.253
CIS (EI),,2018,9676.832
CIS (EI),,2019,9598.744
CIS (EI),,2020,9214.016
CIS (EI),,2021,10005.262
CIS (EI),,2022,9392.034
Canada,CAN,1965,1039.488
