Entity,Date,Seasonal variation,Combined measurements,Monthly averaged,Annual averaged,sea_temperature_anomaly,Sea surface temp (lower-bound),Sea surface temp (upper-bound),Monthly pH measurement,Annual average,Temperature anomaly,Church & White,University of Hawaii,Average,arctic_sea_ice_osisaf,Monthly averaged,Annual averaged,Monthly averaged,Annual averaged,Snow cover,Annual average,sea_ice_extent,ocean_heat_content_2000m,ocean_heat_content_700m
Antarctica,1995-01-31,,234.0764,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-03-02,,229.46431,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-04-02,,225.61528,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-05-02,,224.30643,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-06-01,,223.9551,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-07-02,,222.99226,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-08-01,,220.52591,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-08-31,,218.719,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-10-01,,216.7613,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-10-31,,212.78256,,,,,,,,,,,,,,,,,,,,,
Antarctica,1995-11-30,,209.27946,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-01-01,,205.67441,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-01-31,,202.32135,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-03-01,,199.06017,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-04-01,,197.9212,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-05-01,,198.10982,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-05-31,,199.12894,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-07-01,,199.64157,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-07-31,,200.36414,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-08-30,,200.14624,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-09-30,,195.33469,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-10-30,,189.29276,,,,,,,,,,,,,,,,,,,,,
Antarctica,1996-11-29,,183.48856,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-01-01,,176.89297,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-01-31,,169.80894,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-03-02,,164.78387,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-04-02,,162.82607,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-05-02,,162.48674,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-06-01,,163.19841,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-07-02,,161.9102,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-08-01,,160.5842,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-08-31,,157.84167,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-10-01,,153.33673,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-10-31,,152.09932,,,,,,,,,,,,,,,,,,,,,
Antarctica,1997-11-30,,149.18753,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-01-01,,144.58505,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-01-31,,143.40967,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-03-02,,143.84186,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-04-02,,143.55971,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-05-02,,146.45683,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-06-01,,150.92189,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-07-02,,154.36969,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-08-01,,156.98132,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-08-31,,156.89268,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-10-01,,153.06917,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-10-31,,147.95851,,,,,,,,,,,,,,,,,,,,,
Antarctica,1998-11-30,,136.3362,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-01-01,,122.156204,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-01-31,,109.84816,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-03-02,,95.78587,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-04-02,,86.74696,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-05-02,,81.1667,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-06-01,,77.60014,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-07-02,,73.545105,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-08-01,,69.506134,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-08-31,,66.84415,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-10-01,,60.879597,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-10-31,,55.74452,,,,,,,,,,,,,,,,,,,,,
Antarctica,1999-11-30,,48.912617,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-01-01,,43.43111,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-01-31,,39.953342,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-03-01,,37.019985,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-04-01,,36.650814,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-05-01,,36.269093,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-05-31,,36.043144,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-07-01,,34.569065,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-07-31,,32.941383,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-08-30,,31.087645,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-09-30,,26.033583,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-10-30,,23.766449,,,,,,,,,,,,,,,,,,,,,
Antarctica,2000-11-29,,19.142115,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-01-01,,15.163087,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-01-31,,9.209344,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-03-02,,3.8334165,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-04-02,,-0.83081686,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-05-02,,-4.7816467,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-06-01,,-5.436922,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-07-02,,-4.6616063,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-08-01,,-4.7852473,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-08-31,,-3.9098306,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-10-01,,-3.5865443,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-10-31,,-2.975823,,,,,,,,,,,,,,,,,,,,,
Antarctica,2001-11-30,,-4.79633,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-01-01,,-5.8164854,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-01-31,,-6.070272,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-03-02,,-3.5579479,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-04-02,,0,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-04-16,0,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-05-02,,2.5054548,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-05-08,19.48,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-06-01,,4.684003,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-07-02,,1.5560127,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-08-01,,-1.8252313,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-08-14,-58.91,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-08-31,,-7.216602,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-09-16,47.16,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-10-01,,-14.398886,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-10-15,63.42,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-10-31,,-21.541077,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-11-13,-67.41,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-11-30,,-28.674034,,,,,,,,,,,,,,,,,,,,,
Antarctica,2002-12-16,-49.02,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-01-01,,-34.8105,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-01-15,-48.42,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-01-31,,-39.808083,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-02-13,-199.36,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-03-02,,-43.823032,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-03-14,-170.58,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-04-02,,-47.33856,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-04-16,-43.24,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-05-02,,-50.46876,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-05-12,0.79,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-06-01,,-53.804214,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-07-02,,-58.51972,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-07-16,-127.98,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-08-01,,-65.66413,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-08-14,-121.67,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-08-31,,-76.50556,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-09-16,-130.28,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-10-01,,-90.43361,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-10-15,-47.47,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-10-31,,-106.006424,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-11-13,-106.66,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-11-30,,-120.11538,,,,,,,,,,,,,,,,,,,,,
Antarctica,2003-12-16,-272.18,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-01-01,,-130.8197,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-01-08,-329.2,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-01-31,,-141.8835,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-02-17,-491.31,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-03-01,,-154.09436,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-03-17,-340.3,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-04-01,,-166.27214,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-04-15,-386.05,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-05-01,,-175.33273,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-05-14,-155.49,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-05-31,,-179.08539,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-06-16,-187.95,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-07-01,,-178.83736,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-07-15,-313.33,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-07-31,,-177.08728,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-08-13,-165.84,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-08-30,,-177.7215,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-09-15,-160.77,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-09-30,,-182.38945,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-10-14,-85.93,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-10-30,,-190.52167,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-11-12,-226,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-11-29,,-200.62505,,,,,,,,,,,,,,,,,,,,,
Antarctica,2004-12-15,-305.46,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-01-01,,-209.73143,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-01-15,-393.93,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-01-31,,-218.58078,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-02-13,-454.97,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-03-02,,-228.5354,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-03-14,-405.23,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-04-02,,-238.29027,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-04-16,-251.37,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-05-02,,-243.4591,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-05-15,-228.44,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-06-01,,-242.32413,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-06-17,-203.53,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-07-02,,-238.23318,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-07-16,-158.73,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-08-01,,-233.33633,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-08-14,-208.9,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-08-31,,-228.79991,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-09-16,-112.4,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-10-01,,-226.28374,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-10-15,-105.47,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-10-31,,-225.42172,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-11-13,-58.46,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-11-30,,-225.79953,,,,,,,,,,,,,,,,,,,,,
Antarctica,2005-12-16,-159.09,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-01-01,,-226.62344,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-01-15,-224.74,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-01-31,,-227.80173,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-02-13,-317.94,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-03-02,,-230.89693,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-03-14,-182.87,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-04-02,,-234.71083,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-04-16,-158.2,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-05-02,,-238.13414,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-05-15,-80.91,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-06-01,,-241.77034,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-06-13,-48.72,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-07-02,,-245.7227,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-07-16,-98.35,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-08-01,,-252.26382,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-08-14,-8.54,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-08-31,,-262.16412,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-09-16,-20.02,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-10-01,,-275.77518,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-10-15,-96.06,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-10-31,,-291.17618,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-11-13,-89.3,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-11-30,,-306.58655,,,,,,,,,,,,,,,,,,,,,
Antarctica,2006-12-16,-234.2,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-01-01,,-321.97433,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-01-15,-438.79,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-01-31,,-339.30057,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-02-13,-429.59,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-03-02,,-357.09732,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-03-14,-361.06,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-04-02,,-371.47717,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-04-16,-336.29,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-05-02,,-384.07816,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-05-15,-179.53,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-06-01,,-397.30597,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-06-13,-191.34,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-07-02,,-410.4507,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-07-16,-268.11,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-08-01,,-425.41083,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-08-14,-229.94,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-08-31,,-443.39008,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-09-16,-156.77,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-10-01,,-464.59607,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-10-15,-246.67,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-10-31,,-486.89075,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-11-13,-438.39,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-11-30,,-508.98856,,,,,,,,,,,,,,,,,,,,,
Antarctica,2007-12-16,-521.24,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-01-01,,-529.6918,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-01-15,-729.64,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-01-31,,-550.1466,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-02-13,-607.59,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-03-01,,-570.2937,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-03-17,-740.76,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-04-01,,-587.86725,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-04-15,-561.68,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-05-01,,-601.6552,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-05-14,-473.58,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-05-31,,-611.82684,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-06-16,-557.79,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-07-01,,-619.3063,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-07-15,-651.46,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-07-31,,-626.03754,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-08-13,-603.25,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-08-30,,-631.8247,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-09-15,-442.26,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-09-30,,-637.3344,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-10-14,-533.13,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-10-30,,-641.21497,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-11-12,-520.47,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-11-29,,-643.5842,,,,,,,,,,,,,,,,,,,,,
Antarctica,2008-12-15,-624.26,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-01-01,,-643.5705,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-01-15,-706.63,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-01-31,,-644.7061,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-02-13,-681.11,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-03-02,,-648.95197,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-03-14,-617.1,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-04-02,,-654.494,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-04-16,-579.96,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-05-02,,-660.08954,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-05-15,-553.68,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-06-01,,-664.54816,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-06-17,-540.14,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-07-02,,-668.82654,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-07-16,-435.79,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-08-01,,-675.15265,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-08-14,-466.54,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-08-31,,-683.6054,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-09-16,-480.08,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-10-01,,-693.3701,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-10-15,-534.99,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-10-31,,-703.48914,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-11-13,-520.87,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-11-30,,-717.0557,,,,,,,,,,,,,,,,,,,,,
Antarctica,2009-12-16,-630.91,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-01-01,,-732.7196,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-01-15,-801.77,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-01-31,,-751.94745,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-02-13,-806.65,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-03-02,,-774.208,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-03-14,-687.35,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-04-02,,-796.1093,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-04-16,-758.91,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-05-02,,-817.26483,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-05-15,-780.45,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-06-01,,-835.86615,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-06-13,-793.28,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-07-02,,-854.0202,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-07-16,-996.93,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-08-01,,-872.2047,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-08-14,-925.89,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-08-31,,-891.02405,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-09-16,-847.39,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-10-01,,-910.253,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-10-15,-879.09,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-10-31,,-929.29254,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-11-13,-899.52,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-11-30,,-946.97455,,,,,,,,,,,,,,,,,,,,,
Antarctica,2010-12-13,-912.11,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2011-01-01,,-962.1024,,,,,,,,,,,,,,,,,,,,,
Antarctica,2011-01-31,,-976.8499,,,,,,,,,,,,,,,,,,,,,
Antarctica,2011-02-17,-1001.4,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2011-03-02,,-992.94336,,,,,,,,,,,,,,,,,,,,,
Antarctica,2011-03-14,-1017.22,,,,,,,,,,,,,,,,,,,,,,
Antarctica,2011-04-02,,-1009.316,,,,,,,,,,,,,,,,,,,,,
