"API_WellNo","County","CoName","Hole","SideTrck","Completion","Well_Typ","Field","Wl_Status","Well_Nm","town","Prod Form","MonthProd","GasProd","WaterProd","OilProd","Year"
"31003150520000","Allegany","Francis Root Oil Company","15052","00","00","OD","Richburg","AC","White Farm F-1","Alma","Richburg","0","0","0","0","2022"
"31029133380000","Erie","Empire Energy E & P, LLC","13338","00","00","GD","Glenwood","AC","Brant 1784-I","Colden","Medina","12","694","0","0","2022"
"31003652300000","Allegany","C.O.G. Development & Resources, Inc.","65230","00","00","OD","Richburg","IN","Lincoln l7","Bolivar","Richburg","0","0","0","0","2022"
"31013250470000","Chautauqua","Nucomer Energy, LLC","25047","00","00","GD","Lakeshore","AC","Parker 1","Gerry","Medina","12","2426","0","0","2022"
"31013182150000","Chautauqua","PPP Future Development Inc.","18215","00","00","GD","Lakeshore","AC","Abbey 3","Ellington","Medina","12","293","0","0","2022"
"31037044790000","Genesee","Harris, William H. Jr.","04479","00","00","GD","Uhley Corners-Caledonia","AC","Harris 1","Pavilion","Medina","12","390","0","0","2022"
"31013172770000","Chautauqua","Empire Energy E & P, LLC","17277","00","00","GD","Lakeshore","AC","Cooper,J 6","Poland","Medina","12","1602","0","0","2022"
"31053238590000","Madison","Minard Run Oil Company","23859","00","00","GE","Bradley Brook","AC","Dromgoole 3-333","Lebanon","Oneida","11","1042","0","0","2022"
"31013113030000","Chautauqua","Johnson, Mark & Troy","11303","00","00","OD","Busti","AC","Eckstrom 1a","Busti","Glade","12","0","2","14","2022"
"31013091690000","Chautauqua","Decker, James K. & Tiffany J.","09169","00","00","OD","Busti","IN","Muntz-Angle 9","Busti","Glade","0","0","0","0","2022"
"31101261850000","Steuben","Yahn & Yahn, Inc.","26185","00","00","OD","Beech Hill-Independence","AC","Edlind 15","West Union","Fulmer Valley","12","200","5","52","2022"
"31013094670000","Chautauqua","Libra Petroleum Company","09467","00","00","OD","Busti","AC","L. Crandall 16","Busti","Glade","12","0","1","2","2022"
"31003055390000","Allegany","Saint John Exploration & Production, Inc.","05539","00","00","OD","Richburg","IN","Trio 501","Bolivar","Richburg","0","0","0","0","2022"
"31003678350000","Allegany","Iron Dinosaur Oil","67835","00","00","OD","Browning","IN","Browning 13","Scio","Scio","0","0","0","0","2022"
"31003600020000","Allegany","Simon of Bolivar Enterprises, Inc.","60002","00","00","OD","Richburg","AC","Peckham 13","Genesee","Not Applicable","12","0","0","29","2022"
"31009242100000","Cattaraugus","Pennhills Resources, LLC","24210","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 3-102","Allegany","Bradford & Chipmunk","12","286","5","82","2022"
"31003668930000","Allegany","Burdick, Jeffery H","66893","00","00","OD","Richburg","AC","Mountain 13","Bolivar","Richburg","3","0","1","5","2022"
"31009300680000","Cattaraugus","Dallas Energy, LLC","30068","00","00","OD","Bradford","AC","Potter Lumber 2 # 24","Carrollton","Bradford & Chipmunk","12","1107","618","230","2022"
"31009285820000","Cattaraugus","Dimes Energy GP Inc.","28582","00","00","OD","Four Mile","AC","DP-29     ","Allegany","Bradford & Chipmunk","12","0","39","75","2022"
"31003224920000","Allegany","PPP Future Development Inc.","22492","00","00","OD","Fulmer Valley","AC","McAndrew, R 48-1","Andover","Fulmer Valley","12","68","0","0","2022"
"31013254690000","Chautauqua","Nucomer Energy, LLC","25469","00","00","GD","Lakeshore","IN","Swanson M 3","Gerry","Medina","11","3275","0","0","2022"
"31003606370000","Allegany","Sandstone Oil & Gas Development, LLC","60637","00","00","IW","Richburg","IN","Slade Lot 29 C-1","Genesee","Richburg","0","0","0","0","2022"
"31003639300000","Allegany","Saint John Exploration & Production, Inc.","63930","00","00","OD","Richburg","IN","Trio Farm 112","Bolivar","Richburg","0","0","0","0","2022"
"31009233640000","Cattaraugus","Case Brothers Inc.","23364","00","00","OD","Bradford","AC","Stewart-Matson 34a","Carrollton","Bradford & Chipmunk","12","21","15","37","2022"
"31029605500000","Erie","Masterson, Michael","60550","00","00","GD","East Aurora","AC","Stover 1","Aurora","Medina","12","10","0","0","2022"
"31013052870000","Chautauqua","Gemini Oil Company","05287","00","00","OD","Busti","AC","Muntz Nora 1","Busti","Glade","12","0","1","1","2022"
"31009172750000","Cattaraugus","Empire Energy E & P, LLC","17275","00","00","GD","Lakeshore","AC","Shetler, N 1","Conewango","Medina","12","1169","0","0","2022"
"31013233930000","Chautauqua","Stedman Energy, Inc.","23393","00","00","GD","Lakeshore","AC","Weise 3","Chautauqua","Medina","12","2175","0","0","2022"
"31013246780000","Chautauqua","PPP Future Development Inc.","24678","00","00","GD","Lakeshore","AC","Bifaro 1","Hanover","Medina","12","1116","0","0","2022"
"31009246030000","Cattaraugus","Pennhills Resources, LLC","24603","00","00","OD","Bradford","AC","Rumsey Devonian Sec 9 Lot 2-173","Allegany","Upper Devonian","12","240","4","65","2022"
"31013148830000","Chautauqua","Empire Energy E & P, LLC","14883","00","00","GD","Lakeshore","AC","Winslow 608","Westfield","Medina","12","1590","0","0","2022"
"31003219970000","Allegany","PPP Future Development Inc.","21997","00","00","GW","Richburg","IN","Friar, J 1","Genesee","Onondaga","0","0","0","0","2022"
"31013221030000","Chautauqua","Cotton Well Drilling Company, Inc.","22103","00","00","GD","Lakeshore","AC","Magavern 2","Westfield","Medina","12","200","0","0","2022"
"31117239170000","Wayne","Lenape Resources LLC","23917","00","00","NL","Millpond","IN","Butler Creek (High) 1","Butler","Not Applicable","0","0","0","0","2022"
"31009636390000","Cattaraugus","Stephan, Philip D.","63639","00","00","OD","Bradford","IN","Pfeiffer 18","Allegany","Bradford","0","0","0","0","2022"
"31099213210000","Seneca","Minard Run Oil Company","21321","00","00","GD","Fayette-Waterloo","AC","Larsen 1205","Fayette","Queenston","12","1281","0","0","2022"
"31009184860000","Cattaraugus","Empire Energy E & P, LLC","18486","00","00","GD","Lakeshore","AC","D Dankert 1","Otto","Medina","12","188","0","0","2022"
"31013125800000","Chautauqua","Stedman Energy, Inc.","12580","00","00","GD","Lakeshore","AC","NYSRA 4-4","Harmony","Medina","2","66","0","0","2022"
"31003636070000","Allegany","Simon of Bolivar Enterprises, Inc.","63607","00","00","OD","Richburg","AC","Wheeler 40 (P40)","Bolivar","Richburg","12","0","0","4","2022"
"31011204610000","Cayuga","Minard Run Oil Company","20461","00","00","GD","West Auburn","AC","O'Hara (406-4)","Aurelius","Queenston","12","822","0","0","2022"
"31013114880000","Chautauqua","Empire Energy E & P, LLC","11488","00","00","GD","Lakeshore","AC","Zook 276","Chautauqua","Medina","12","1248","0","0","2022"
"31029133160000","Erie","Frey Well Drilling, Inc.","13316","00","00","GD","Alden-Lancaster","AC","Snyder 1","Alden","Medina","12","373","0","0","2022"
"31013122860000","Chautauqua","PPP Future Development Inc.","12286","00","00","GD","Lakeshore","SI","Beldon 449","Arkwright","Medina","0","0","0","0","2022"
"31013124960000","Chautauqua","PPP Future Development Inc.","12496","00","00","GD","Lakeshore","AC","Smallback NY 37","Cherry Creek","Grimsby","12","101","0","0","2022"
"31003080320000","Allegany","Klein Oil & Logging","08032","00","00","OD","Beech Hill-Independence","AC","Austin-Bayard 30","Independence","Fulmer Valley","12","10","2","5","2022"
"31029251320000","Erie","PPP Future Development Inc.","25132","00","00","GD","Brant-Eden","AC","Stuhmiller 1","North Collins","Medina","12","3606","0","0","2022"
"31009284500000","Cattaraugus","Dimes Energy GP Inc.","28450","00","00","OD","Bradford","AC","DC-2","Allegany","Bradford & Chipmunk","12","603","155","337","2022"
"31013192850000","Chautauqua","Empire Energy E & P, LLC","19285","00","00","GD","Lakeshore","AC","Smith, W 1","Poland","Medina","12","946","0","0","2022"
"31013147710000","Chautauqua","Cotton Well Drilling Company, Inc.","14771","00","00","GD","Lakeshore","IN","3129 Sweetman","Westfield","Medina","0","0","0","0","2022"
"31009284490000","Cattaraugus","Dimes Energy GP Inc.","28449","00","00","OD","Bradford","AC","DC-1","Allegany","Bradford & Chipmunk","12","527","124","337","2022"
"31013125100000","Chautauqua","PPP Future Development Inc.","12510","00","00","GD","Lakeshore","AC","Smallback NY 38","Cherry Creek","Medina","12","497","0","0","2022"
"31029257250000","Erie","Alden Aurora Gas Company, Inc.","25725","00","00","GD","Alden-Lancaster","AC","Voss 1","Alden","Medina","12","707","13","0","2022"
"31009224480000","Cattaraugus","Empire Energy E & P, LLC","22448","00","00","GD","Lakeshore","AC","Hostetler 2","Leon","Medina","12","835","0","0","2022"
"31013180080000","Chautauqua","PPP Future Development Inc.","18008","00","00","GD","Lakeshore","AC","Hammond 1","Ellery","Medina","11","475","0","0","2022"
"31013180850000","Chautauqua","Stedman Energy, Inc.","18085","00","00","GD","Lakeshore","AC","Crosby1","Harmony","Medina","6","211","0","0","2022"
"31013247790000","Chautauqua","PPP Future Development Inc.","24779","00","00","GD","Lakeshore","AC","Cross 8","Hanover","Medina","12","382","0","0","2022"
"31013224770000","Chautauqua","Greenridge Oil Company LLC","22477","00","00","OD","Busti","IN","Connelly 3g","Busti","Glade","0","0","0","0","2022"
"31013118850000","Chautauqua","Empire Energy E & P, LLC","11885","00","00","GD","Lakeshore","AC","Wise 408","Stockton","Medina","12","2153","16","0","2022"
"31013250450000","Chautauqua","PPP Future Development Inc.","25045","00","00","GD","Lakeshore","IN","Scott 1","Chautauqua","Medina","1","56","0","0","2022"
"31013145980000","Chautauqua","Empire Energy E & P, LLC","14598","00","00","GD","Lakeshore","AC","Endress 602","Westfield","Medina","12","399","0","0","2022"
"31121208720000","Wyoming","United States Gypsum Company","20872","00","00","GD","Danley Corners","AC","Martinez, D. 1","Bennington","Medina","12","191","0","0","2022"
"31009235340000","Cattaraugus","Stedman Energy, Inc.","23534","00","00","GW","Bixby Hill","IN","Bixby Hill 1","Freedom","Theresa","0","0","0","0","2022"
"31013240840000","Chautauqua","PPP Future Development Inc.","24084","00","00","OD","Lakeshore","IN","Babyak 1-451","Busti","Medina","0","0","0","0","2022"
"31013245100000","Chautauqua","Empire Energy E & P, LLC","24510","00","00","GD","Lakeshore","AC","S & M Harrington #1","Chautauqua","Medina","7","1483","0","0","2022"
"31009242460000","Cattaraugus","Pennhills Resources, LLC","24246","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 3-121","Allegany","Bradford & Chipmunk","12","240","4","65","2022"
"31013187350000","Chautauqua","PPP Future Development Inc.","18735","00","00","GD","Lakeshore","IN","Lenczyk 1","Ellington","Medina","12","5","0","0","2022"
"31003605590000","Allegany","Hewitt Oil, LLC","60559","00","00","OD","Richburg","IN","Davies 7","Bolivar","Richburg","0","0","0","0","2022"
"31029252560000","Erie","PPP Future Development Inc.","25256","00","00","GD","Lakeshore","AC","Penfold 1","Evans","Medina","11","1001","0","0","2022"
"31029163010000","Erie","Stedman Energy, Inc.","16301","00","00","GD","Brant-Eden","AC","Lindsay 1","Eden","Grimsby","12","301","0","0","2022"
"31013197630000","Chautauqua","Universal Resources Holdings, Inc.","19763","00","00","GD","Lakeshore","AC","Martin Drilling Unit 1","Ellicott","Medina","9","1623","0","0","2022"
"31029187550000","Erie","Akron Central School District","18755","00","00","GD","Akron","AC","Acsd Fee 3","Newstead","Medina","12","930","0","0","2022"
"31003282370000","Allegany","Empire Energy E & P, LLC","28237","00","00","OD","Clarksville","AC","Eddy 4","Wirt","Richburg-Waugh & Porter","12","52","6","48","2022"
"31009609830000","Cattaraugus","McCracken Oil & Gas, LLC","60983","00","00","OD","Chipmunk","AC","B/R 37","Allegany","Bradford & Chipmunk","12","0","0","92","2022"
"31009600010000","Cattaraugus","Vertical Energy, Inc.","60001","00","00","OD","Chipmunk","AC","Odell Old 2","Carrollton","Chipmunk","12","2","1","8","2022"
"31101002990000","Steuben","Lewis, Larry, Lyle and Paul","00299","00","00","GD","Northwest Harrison","AC","Lewis 1","West Union","Oriskany","0","0","0","0","2022"
"31003604790000","Allegany","Witter, Terry L.","60479","00","00","OD","Richburg","IN","Stillman 33","Bolivar","Richburg","0","0","0","0","2022"
"31029251460000","Erie","PPP Future Development Inc.","25146","00","00","GD","North Collins","AC","Ptak 1","North Collins","Medina","12","901","0","0","2022"
"31009255700000","Cattaraugus","Vertical Energy, Inc.","25570","00","00","OD","Olean","AC","Willoughby 12","Olean","Chipmunk, Bradford 2nd & 3rd","12","8","10","110","2022"
"31009301620000","Cattaraugus","Pennhills Resources, LLC","30162","00","00","OD","Bradford","DC","Rumsey 315","Allegany","Bradford & Chipmunk","12","655","74","499","2022"
"31009277160001","Cattaraugus","Blackhawk Energy, LLC","27716","00","01","OD","Bradford","AC","Young 124","Olean","Upper Devonian","11","268","82","110","2022"
"31009172100000","Cattaraugus","Nucomer Energy, LLC","17210","00","00","GW","Lakeshore","AC","Countryside Gravel 231","Dayton","Medina","12","1164","0","0","2022"
"31009170960000","Cattaraugus","Empire Energy E & P, LLC","17096","00","00","GD","Lakeshore","AC","Hershberger, A 1","Conewango","Medina","12","2339","0","0","2022"
"31011205200000","Cayuga","Minard Run Oil Company","20520","00","00","GD","West Auburn","SI","Edmunds 815-1","Fleming","Queenston","0","0","0","0","2022"
"31011204680000","Cayuga","Minard Run Oil Company","20468","00","00","GD","West Auburn","AC","Downing 661-2","Springport","Queenston","12","1470","0","0","2022"
"31013279140000","Chautauqua","Universal Resources Holdings, Inc.","27914","00","00","GD","Lakeshore","AC","Kaluza 1","Ellery","Medina","12","433","0","0","2022"
"31013091900000","Chautauqua","Decker, James K. & Tiffany J.","09190","00","00","OD","Busti","AC","Clair W Potter","Busti","Glade","6","1","2","2","2022"
"31009108510000","Cattaraugus","Little, Jay R.","10851","00","00","OD","Chipmunk","AC","Pfouts II  15","Carrollton","Chipmunk","12","27","9","40","2022"
"31009283770000","Cattaraugus","Drillers LLC","28377","00","00","OD","Bradford","AC","DS-3","Carrollton","Chipmunk, Bradford 2nd & 3rd","12","2","0","0","2022"
"31017239660001","Chenango","Minard Run Oil Company","23966","00","01","GE","Beaver Meadow - Herkimer pool","AC","Diehl 2-464","Smyrna","Herkimer","12","8840","0","0","2022"
"31003659840000","Allegany","J. J. Bucher Producing Corporation","65984","00","00","OD","Richburg","IN","Emerson 9","Scio","Richburg","0","0","0","0","2022"
"31009282640000","Cattaraugus","Burlingame Oil, LLC","28264","00","00","OD","Four Mile","AC","Burlingame 120","Allegany","Bradford Third","12","111","7","74","2022"
"31013113200000","Chautauqua","Wavepoint Realty NY, LLC","11320","00","00","GD","Lakeshore","AC","Red Wing 1","Pomfret","Medina","12","175","0","0","2022"
"31013102930000","Chautauqua","Empire Energy E & P, LLC","10293","00","00","GD","Lakeshore","AC","Waite 34","Ripley","Medina","12","1036","0","0","2022"
"31011156630000","Cayuga","OI Auburn, Inc.","15663","00","00","GE","West Auburn","AC","Kirschner H & J 123-2","Aurelius","Queenston","12","1609","0","0","2022"
"31009094720000","Cattaraugus","Mark T. Kellner Oil Co.","09472","00","00","OD","Bradford","AC","Coast 31","Olean","Bradford Third","1","1","0","0","2022"
"31013131200000","Chautauqua","Empire Energy E & P, LLC","13120","00","00","GD","Lakeshore","AC","Cochrane Farms 4","Ripley","Medina","12","1705","0","0","2022"
"31003660340000","Allegany","Collins, Dave","66034","00","00","OD","Richburg","AC","Harder 23","Scio","Richburg","3","0","2","2","2022"
"31009223150000","Cattaraugus","Empire Energy E & P, LLC","22315","00","00","GD","Lakeshore","AC","Dustin 1","Leon","Medina","12","471","0","0","2022"
"31011206170000","Cayuga","Minard Run Oil Company","20617","00","00","GD","West Auburn","AC","Gould 1062-4","Aurelius","Queenston","12","3094","0","0","2022"
"31013190560000","Chautauqua","PPP Future Development Inc.","19056","00","00","GD","Lakeshore","SI","Neil 1-A","Harmony","Medina","0","0","0","0","2022"
"31037260710000","Genesee","Le Roy Central School","26071","00","00","GD","Uhley Corners-Caledonia","AC","Fee 5","Le Roy","Medina","12","770","1","0","2022"
"31009247230000","Cattaraugus","Pennhills Resources, LLC","24723","00","00","OD","Bradford","AC","Rumsey Devonian Sec 10 Lot 4 #142","Allegany","Upper Devonian","12","284","5","45","2022"
"31003226650000","Allegany","PPP Future Development Inc.","22665","00","00","OD","Fulmer Valley","AC","Lot 47 2a","Andover","Penny & Fulmer Valley","12","28","0","0","2022"
"31029170400000","Erie","Stedman Energy, Inc.","17040","00","00","GD","Brant-Eden","AC","Agle 1","Eden","Medina","12","5716","0","0","2022"
"31101228780000","Steuben","Yahn & Yahn, Inc.","22878","00","00","OD","Beech Hill-Independence","AC","Edlind 10","West Union","Fulmer Valley","12","100","5","50","2022"
"31013091980000","Chautauqua","Gemini Oil Company","09198","00","00","OD","Busti","AC","Muntz 11","Busti","Glade","12","0","1","1","2022"
"31029190090000","Erie","Stedman Energy, Inc.","19009","00","00","GD","Brant-Eden","AC","Bower 3","Eden","Grimsby","12","782","0","0","2022"
"31013082700000","Chautauqua","Libra Petroleum Company","08270","00","00","OD","Busti","AC","Hanson 7","Busti","Glade","12","0","1","1","2022"
"31037159920000","Genesee","Le Roy Central School","15992","00","00","GD","Uhley Corners-Caledonia","AC","Fee 2","Le Roy","Medina","12","3950","2","0","2022"
"31009172670000","Cattaraugus","Empire Energy E & P, LLC","17267","00","00","GD","Lakeshore","AC","Stone, R 1","Conewango","Medina","12","1432","0","0","2022"
"31013110060000","Chautauqua","Empire Energy E & P, LLC","11006","00","00","GD","Lakeshore","AC","Jordan 1","Portland","Medina","12","1116","0","0","2022"
"31003600030000","Allegany","Simon of Bolivar Enterprises, Inc.","60003","00","00","OD","Richburg","AC","Peckham 14","Genesee","Not Applicable","12","0","0","29","2022"
"31009176830000","Cattaraugus","Empire Energy E & P, LLC","17683","00","00","GD","Lakeshore","AC","Bobseine 1","Persia","Medina","12","1519","0","0","2022"
"31009219430000","Cattaraugus","AC Oil LLC","21943","00","00","OD","Bradford","AC","Evans et1","Carrollton","Bradford","12","10","1","26","2022"
"31013248700001","Chautauqua","PPP Future Development Inc.","24870","00","01","GD","Lakeshore","AC","Carlberg 3B","Poland","Medina","12","504","0","0","2022"
"31009666030000","Cattaraugus","Mark T. Kellner Oil Co.","66603","00","00","OD","Bradford","AC","Kellner t1","Olean","Bradford Third","1","1","0","0","2022"
"31003253980000","Allegany","Sam Koehler Enterprises, Inc.","25398","00","00","OD","Fulmer Valley","AC","Joyce 33","Andover","Penny & Fulmer Valley","12","246","5","10","2022"
"31003675390000","Allegany","Saint John Exploration & Production, Inc.","67539","00","00","IW","Richburg","IN","Big Four 2x","Bolivar","Richburg","0","0","0","0","2022"
"31003110720000","Allegany","Sam Koehler Enterprises, Inc.","11072","00","00","OD","Beech Hill-Independence","IN","Forsythe 13","Independence","Fulmer Valley","0","0","0","0","2022"
"31121182000000","Wyoming","United States Gypsum Company","18200","00","00","GD","Danley Corners","AC","Igla 1","Bennington","Medina","12","440","0","0","2022"
"31013118790000","Chautauqua","Empire Energy E & P, LLC","11879","00","00","GD","Lakeshore","AC","Barrett 399","Chautauqua","Medina","12","3002","0","0","2022"
"31013129440000","Chautauqua","Stedman Energy, Inc.","12944","00","00","GW","Lakeshore","AC","Simmental Ranch 1 6661","Harmony","Medina","2","152","0","0","2022"
"31009222790000","Cattaraugus","Case Brothers Inc.","22279","00","00","OD","Chipmunk","AC","Case 29","Carrollton","Chipmunk, Bradford 1st & 2nd","3","6","2","5","2022"
"31013189800000","Chautauqua","Nucomer Energy, LLC","18980","00","00","GD","Lakeshore","AC","Morey, E 6335","Villenova","Medina","8","1310","0","0","2022"
"31009241550000","Cattaraugus","Pennhills Resources, LLC","24155","00","00","OD","Bradford","AC","Rumsey Devonian Sec 14 Lot 1-62","Allegany","Bradford & Chipmunk","12","286","5","82","2022"
"31009284610000","Cattaraugus","Dimes Energy GP Inc.","28461","00","00","OD","Bradford","AC","DC-12","Allegany","Bradford & Chipmunk","12","452","155","337","2022"
"31009658580000","Cattaraugus","Thomas A Miller Oil Co.","65858","00","00","OD","Bradford","IN","McDivitt 75","Olean","Bradford","0","0","0","0","2022"
"31013226470000","Chautauqua","PPP Future Development Inc.","22647","00","00","GD","Lakeshore","AC","Cardone 1","Busti","Whirlpool","0","0","0","0","2022"
"31099228640000","Seneca","Minard Run Oil Company","22864","00","00","GD","Fayette-Waterloo","AC","DJ Farms 624312","Fayette","Queenston","12","1366","0","0","2022"
"31013186930000","Chautauqua","PPP Future Development Inc.","18693","00","00","GD","Lakeshore","IN","Rublee 2","Ellington","Medina","12","116","0","0","2022"
